source;target;pre_link;post_link
36854;7445;0;1
66473;7445;0;1
7475;7445;1;0
7454;7446;1;1
7444;7446;0;1
7434;7446;1;1
36862;7446;1;1
116035;7446;0;1
36857;7446;0;1
7450;7446;1;1
36883;7446;1;1
36885;7446;0;1
61474;7447;1;1
36889;7447;1;1
36855;7447;0;1
36888;7447;0;1
7431;7447;1;1
36919;7447;0;1
40064;7447;1;1
7439;7447;1;0
40065;7447;1;0
36856;7447;1;1
80891;7447;1;1
36876;7447;1;1
75366;7447;0;1
7437;7447;1;1
36936;7447;1;1
36886;7447;1;1
7440;7447;1;1
54392;7447;1;1
36854;7447;0;1
40072;7447;1;0
12936;7447;1;0
57200;7447;0;1
73243;7447;0;1
8909;7447;1;0
66473;7447;0;1
36853;7447;0;1
36864;7448;1;1
56660;7448;1;1
36884;7448;1;1
7430;7448;1;0
36856;7448;1;0
54732;7448;1;1
7435;7448;1;1
7459;7448;1;1
55808;7448;1;1
7452;7448;1;0
36866;7448;1;1
36840;7448;1;0
7443;7448;1;1
9924;7448;1;0
7454;7448;1;0
7476;7449;1;1
81353;7449;1;0
77714;7449;1;0
36873;7449;1;0
36892;7449;1;0
7455;7450;1;1
7454;7450;1;1
36885;7450;1;1
36883;7450;1;1
7434;7450;1;1
7446;7450;1;1
36862;7450;1;1
85083;7450;1;1
36867;7450;0;1
36868;7451;1;1
7452;7451;1;1
7436;7451;1;1
74204;7451;1;0
36892;7451;1;0
7453;7451;1;0
7439;7451;1;1
7432;7451;1;0
36877;7451;1;1
71555;7451;0;1
36863;7451;1;0
36868;7452;1;1
12947;7452;1;0
71555;7452;1;1
8295;7452;1;0
74204;7452;1;0
36877;7452;1;1
7439;7452;1;1
36872;7452;0;1
36925;7452;0;1
7440;7452;1;0
36854;7452;1;0
7448;7452;1;0
7436;7452;1;1
7442;7452;1;0
36863;7452;1;1
7432;7452;1;0
7451;7452;1;1
85764;7452;1;0
7437;7452;0;1
85068;7452;0;1
54753;7452;0;1
36865;7452;0;1
7444;7452;1;0
7451;7453;1;0
36879;7453;0;1
78538;7453;1;0
77714;7453;0;1
104079;7453;0;1
7476;7453;0;1
7432;7453;1;0
36872;7453;0;1
36892;7453;0;1
54394;7453;1;0
7436;7453;1;0
7446;7454;1;1
7450;7454;1;1
36862;7454;1;1
7443;7454;1;1
7455;7454;1;1
7434;7454;1;1
36867;7454;1;1
55808;7454;1;1
36883;7454;1;1
9957;7454;1;0
36840;7454;1;1
36885;7454;1;0
22693;7454;1;0
7448;7454;1;0
36856;7454;1;0
40072;7454;1;0
36885;7455;1;1
7450;7455;1;1
7454;7455;1;1
85083;7455;1;1
7434;7455;1;1
36883;7455;1;0
36862;7455;1;1
36862;7458;1;0
43542;7458;0;1
36934;7458;0;1
68349;7458;1;1
43548;7458;0;1
36885;7458;1;0
9928;7458;1;1
7463;7458;0;1
36883;7458;1;0
114782;7458;0;1
7430;7459;1;1
7443;7459;1;1
9942;7459;1;1
7448;7459;1;1
55808;7459;1;1
54732;7459;1;1
36864;7459;1;1
36866;7459;1;1
36884;7459;1;0
71555;7459;0;1
7437;7459;1;0
9924;7459;0;1
7435;7459;1;0
36856;7459;1;0
9928;7460;1;0
43553;7460;1;0
9945;7460;1;0
106052;7461;0;1
36924;7461;0;1
9945;7461;1;1
7463;7461;1;1
9925;7461;1;1
43544;7461;1;1
9938;7461;1;1
92988;7461;0;1
110886;7461;0;1
36926;7461;0;1
36889;7461;0;1
9947;7461;1;1
7475;7461;1;0
9948;7461;0;1
12935;7462;0;1
7467;7462;1;1
40073;7462;0;1
8924;7462;1;0
82263;7462;1;0
2690;7462;0;1
12951;7462;1;0
54388;7462;1;0
36924;7463;1;1
68349;7463;0;1
7469;7463;1;0
81491;7463;1;1
7475;7463;1;1
80891;7463;1;1
36889;7463;0;1
43546;7463;1;0
36925;7463;0;1
110886;7463;0;1
106052;7463;0;1
43544;7463;1;1
9947;7463;0;1
9938;7463;1;1
7473;7463;1;0
36936;7463;1;1
9945;7463;1;1
36929;7463;1;0
7458;7463;0;1
36926;7463;1;1
36851;7463;1;1
36923;7463;1;1
92988;7463;0;1
7474;7463;1;1
36875;7463;1;0
7439;7463;1;0
9925;7463;0;1
116611;7463;0;1
7466;7463;1;0
7461;7463;1;1
7445;7463;1;0
43119;7463;1;0
36934;7466;0;1
80891;7466;1;1
36936;7466;1;0
7463;7466;1;0
81353;7466;0;1
36924;7466;1;1
7473;7466;1;0
43119;7466;1;0
7475;7466;1;0
36836;7466;0;1
63175;7466;0;1
36886;7466;0;1
36939;7466;0;1
36851;7466;1;1
36929;7466;1;0
2694;7467;1;0
7462;7467;1;1
63112;7467;0;1
12930;7467;0;1
2703;7467;0;1
36923;7468;1;0
36925;7469;1;0
7463;7469;1;0
36929;7469;1;0
43546;7469;1;0
36926;7469;1;0
43119;7470;1;1
36918;7470;1;1
36938;7470;1;1
43124;7470;0;1
80891;7470;0;1
36927;7470;0;1
61098;7471;1;1
36929;7471;1;0
81491;7472;1;0
36929;7473;1;1
7474;7473;1;0
7466;7473;1;0
7463;7473;1;0
80891;7473;1;0
7475;7473;1;0
36924;7473;1;0
43119;7473;1;0
36851;7473;1;0
36936;7473;1;0
7463;7474;1;1
36851;7474;0;1
36929;7474;1;1
7473;7474;1;0
80891;7474;1;1
116611;7474;0;1
36923;7474;0;1
43546;7474;0;1
36924;7474;1;1
36926;7474;0;1
43550;7474;0;1
7475;7474;1;1
36851;7475;1;1
80891;7475;1;1
7461;7475;1;0
7463;7475;1;1
36936;7475;1;1
9938;7475;1;0
43544;7475;1;0
36875;7475;1;0
36929;7475;1;1
7474;7475;1;1
8916;7475;0;1
7466;7475;1;0
65585;7475;0;1
7473;7475;1;0
43119;7475;1;0
7445;7475;1;0
9945;7475;1;0
7439;7475;1;0
12945;7475;0;1
36924;7475;1;0
81353;7476;1;1
36879;7476;1;1
7453;7476;0;1
77714;7476;0;1
7449;7476;1;1
36873;7476;1;1
9927;7476;1;0
8909;8295;1;0
12936;8295;1;1
40069;8295;1;0
12945;8295;1;0
54368;8295;0;1
54376;8295;1;0
40071;8295;1;0
12939;8295;1;0
61474;8295;1;0
69531;8295;1;0
66473;8295;1;0
54394;8295;1;0
54370;8295;1;0
7442;8295;1;0
40085;8295;1;0
36853;8295;1;0
7444;8295;1;0
54372;8295;1;1
54391;8295;1;0
7452;8295;1;0
36886;8295;1;0
57200;8295;0;1
54392;8295;1;0
12937;8295;0;1
2682;8295;1;0
12948;8295;1;0
36887;8295;1;0
12925;8295;1;0
36854;8295;1;0
7440;8295;1;0
7441;8295;1;0
62161;8908;0;1
8914;8908;1;1
8910;8908;1;1
40062;8908;1;1
12931;8908;1;1
12925;8908;1;0
59662;8908;1;0
43126;8908;1;1
71889;8908;0;1
40074;8908;1;1
12929;8908;0;1
60797;8908;1;0
71126;8908;1;0
8912;8908;1;1
12930;8908;0;1
40086;8908;1;0
43123;8908;1;0
111483;8908;0;1
54372;8909;1;1
40066;8909;1;1
40080;8909;1;1
40071;8909;1;1
40065;8909;1;1
7442;8909;1;0
54370;8909;1;0
40064;8909;1;1
40072;8909;1;1
40068;8909;1;0
40069;8909;1;1
61474;8909;1;0
66473;8909;1;0
54376;8909;0;1
54379;8909;0;1
40074;8909;1;0
7445;8909;1;0
40085;8909;1;0
7441;8909;1;0
71132;8909;1;1
36853;8909;1;0
7444;8909;1;0
8916;8909;1;0
85068;8909;1;0
8914;8909;1;0
7447;8909;1;0
82823;8909;0;1
8295;8909;1;0
36875;8909;1;0
59662;8910;1;1
20522;8910;0;1
8914;8910;1;1
62161;8910;0;1
8908;8910;1;1
40062;8910;1;1
8912;8910;1;1
40078;8910;0;1
40086;8910;1;1
54384;8910;0;1
40068;8910;0;1
40074;8910;1;1
73991;8910;0;1
8922;8910;0;1
12931;8910;0;1
79804;8910;1;1
8923;8910;1;1
111483;8910;0;1
12934;8910;0;1
8917;8912;1;1
40062;8912;1;1
71889;8912;1;1
8914;8912;1;1
40073;8912;0;1
62161;8912;0;1
8908;8912;1;1
8924;8912;1;1
8910;8912;1;1
40074;8912;1;1
79664;8912;1;1
12937;8912;0;1
58429;8912;1;1
40083;8912;0;1
40069;8912;0;1
12930;8912;0;1
12951;8912;1;0
40074;8913;0;1
40066;8913;0;1
40079;8913;0;1
40059;8913;0;1
60797;8913;0;1
80891;8913;0;1
8914;8913;0;1
40068;8914;1;0
68096;8914;1;0
62161;8914;0;1
8910;8914;1;1
85068;8914;1;0
12929;8914;0;1
40062;8914;1;1
7444;8914;1;0
8916;8914;1;1
40074;8914;1;1
12931;8914;1;0
8913;8914;0;1
8912;8914;1;1
8908;8914;1;1
7442;8914;1;0
40066;8914;1;1
43126;8914;1;0
40070;8914;1;0
71132;8914;1;0
9777;8914;0;1
8909;8914;1;0
40079;8914;1;0
111483;8914;0;1
60797;8914;0;1
12931;8916;1;0
7442;8916;1;0
40079;8916;1;0
8914;8916;1;1
85068;8916;1;0
40066;8916;1;1
40065;8916;1;0
8909;8916;1;0
7444;8916;1;0
40071;8916;1;0
40074;8916;1;0
71132;8916;1;0
7475;8916;0;1
40080;8916;1;0
40062;8917;1;0
40083;8917;1;1
71889;8917;0;1
73991;8917;0;1
12923;8917;1;1
40068;8917;0;1
79804;8917;1;0
8912;8917;1;1
12934;8917;0;1
8922;8917;0;1
79664;8922;1;1
71889;8922;0;1
12934;8922;1;1
54384;8922;0;1
40083;8922;1;1
70411;8922;1;1
12930;8922;1;1
40068;8922;0;1
79804;8922;1;1
8910;8922;0;1
8924;8922;1;0
62161;8922;1;1
40070;8922;0;1
73991;8922;0;1
8923;8922;1;1
12923;8922;1;1
8917;8922;0;1
40063;8922;1;0
40073;8922;1;0
68096;8922;0;1
59662;8922;0;1
40086;8922;0;1
79804;8923;0;1
40086;8923;0;1
12934;8923;1;1
20522;8923;1;1
12930;8923;1;0
8910;8923;1;1
40068;8923;0;1
8922;8923;1;1
59662;8923;0;1
54384;8923;0;1
12921;8923;0;1
79664;8924;1;1
58429;8924;1;1
2694;8924;1;0
12937;8924;0;1
71889;8924;1;1
70411;8924;1;0
8912;8924;1;1
62161;8924;1;0
12923;8924;1;0
2698;8924;0;1
12930;8924;1;0
40069;8924;0;1
8922;8924;1;0
69531;8924;0;1
40073;8924;1;1
12951;8924;1;0
40083;8924;1;0
7462;8924;1;0
40074;9777;0;1
8914;9777;0;1
12929;9777;0;1
43123;9777;0;1
43121;9777;0;1
20522;9777;0;1
72071;9922;0;1
9950;9922;0;1
91627;9922;0;1
9928;9922;0;1
9938;9922;0;1
43551;9922;1;1
77958;9922;0;1
43547;9922;0;1
43542;9922;1;0
9934;9922;0;1
95530;9922;0;1
43544;9922;0;1
43538;9922;0;1
9925;9922;0;1
85232;9922;0;1
43548;9922;1;0
9929;9923;1;1
56019;9923;0;1
9955;9924;1;0
7459;9924;0;1
36851;9924;1;0
43545;9924;1;0
7448;9924;1;0
71555;9924;0;1
80891;9924;1;0
9933;9924;1;0
7434;9924;1;0
9944;9924;1;0
36924;9925;0;1
9947;9925;0;1
9950;9925;1;1
106052;9925;0;1
9945;9925;1;1
110886;9925;0;1
36889;9925;0;1
9928;9925;0;1
85232;9925;0;1
7461;9925;1;1
9938;9925;1;1
95530;9925;0;1
9922;9925;0;1
7463;9925;0;1
43544;9925;1;1
36926;9925;0;1
43547;9925;0;1
72071;9925;0;1
43551;9925;0;1
92988;9925;0;1
9948;9925;0;1
77958;9925;0;1
43553;9925;1;0
91627;9925;0;1
71025;9927;0;1
7476;9927;1;0
12939;9927;0;1
43553;9928;1;1
77958;9928;1;1
68349;9928;1;1
85232;9928;0;1
43539;9928;1;1
9945;9928;1;0
9950;9928;1;1
43547;9928;0;1
91627;9928;0;1
9938;9928;1;1
115079;9928;1;1
9944;9928;1;0
95530;9928;0;1
43544;9928;0;1
43551;9928;0;1
7458;9928;1;1
9922;9928;0;1
81491;9928;0;1
9940;9928;0;1
7460;9928;1;0
43538;9928;0;1
72071;9928;0;1
9925;9928;0;1
9952;9928;1;0
9923;9929;1;1
36929;9930;1;0
77119;9932;0;1
43550;9932;1;1
9950;9932;1;0
9924;9933;1;0
43545;9933;1;0
7431;9933;1;1
7440;9933;0;1
7444;9933;1;1
7442;9933;1;1
60017;9933;1;1
9944;9933;1;0
36838;9933;0;1
36859;9933;0;1
36888;9933;0;1
7410;9933;0;1
36860;9933;0;1
36907;9933;1;0
36853;9933;0;1
43553;9933;0;1
73983;9933;0;1
85068;9933;0;1
43551;9933;0;1
111607;9933;0;1
43538;9934;0;1
9922;9934;0;1
43551;9934;0;1
73026;9934;1;0
43539;9934;1;1
10578;9935;1;1
78762;9935;1;0
9948;9935;1;0
85232;9936;0;1
36926;9938;0;1
106052;9938;0;1
43552;9938;1;0
91627;9938;0;1
43544;9938;1;1
9945;9938;1;1
7461;9938;1;1
9925;9938;1;1
7463;9938;1;1
9952;9938;1;0
36889;9938;0;1
9928;9938;1;1
43553;9938;1;0
9950;9938;1;1
36939;9938;1;0
43547;9938;0;1
71963;9938;1;0
9947;9938;1;1
72071;9938;1;1
77958;9938;0;1
95530;9938;0;1
9940;9938;1;0
92988;9938;0;1
9922;9938;0;1
43551;9938;1;1
7475;9938;1;0
85232;9938;0;1
110886;9938;0;1
85232;9939;1;1
95530;9940;0;1
43544;9940;1;1
9928;9940;0;1
9947;9940;1;0
43551;9940;1;0
43547;9940;0;1
9948;9940;1;0
9938;9940;1;0
7459;9942;1;1
43548;9942;0;1
7434;9942;0;1
7430;9942;0;1
54732;9942;0;1
43546;9944;1;1
43545;9944;1;0
9924;9944;1;0
9955;9944;1;0
72071;9944;1;0
9933;9944;1;0
9928;9944;1;0
7463;9945;1;1
43544;9945;1;1
9925;9945;1;1
9947;9945;1;1
9928;9945;1;0
110886;9945;0;1
7475;9945;1;0
106052;9945;0;1
36889;9945;0;1
43553;9945;1;0
9938;9945;1;1
7461;9945;1;1
92988;9945;0;1
7460;9945;1;0
9948;9945;0;1
36926;9945;0;1
36924;9945;0;1
9938;9947;1;1
43544;9947;1;1
9948;9947;1;0
9925;9947;0;1
9945;9947;1;1
106052;9947;0;1
7461;9947;1;1
7463;9947;0;1
9940;9947;1;0
43544;9948;0;1
78762;9948;1;1
9945;9948;0;1
9940;9948;1;0
9947;9948;1;0
9951;9948;1;0
106052;9948;0;1
91078;9948;0;1
9925;9948;0;1
7461;9948;0;1
9935;9948;1;0
77958;9950;1;1
95530;9950;0;1
43553;9950;1;0
72071;9950;1;1
9928;9950;1;1
43544;9950;1;1
43542;9950;1;0
85232;9950;0;1
91627;9950;0;1
43551;9950;0;1
9938;9950;1;1
43552;9950;1;0
9925;9950;1;1
43548;9950;1;0
43547;9950;0;1
9922;9950;0;1
9932;9950;1;0
9948;9951;1;0
61372;9952;1;1
9938;9952;1;0
71963;9952;1;0
9928;9952;1;0
43541;9953;1;1
85068;9955;0;1
60017;9955;1;1
36853;9955;0;1
43553;9955;0;1
43545;9955;1;0
73983;9955;0;1
7444;9955;0;1
7442;9955;0;1
9944;9955;1;0
9924;9955;1;0
7440;9955;0;1
36859;9955;0;1
43551;9955;0;1
7431;9955;0;1
70998;9956;1;1
12944;9956;0;1
7434;9957;1;0
7454;9957;1;0
98177;10578;0;1
9935;10578;1;1
12931;12921;1;1
58364;12921;1;0
8923;12921;0;1
12935;12921;0;1
79804;12921;1;0
54386;12922;0;1
12946;12922;0;1
85423;12922;1;1
2703;12922;0;1
2695;12922;1;0
12938;12923;1;1
12934;12923;1;1
40083;12923;1;1
69531;12923;1;0
82263;12923;1;1
63112;12923;1;1
70492;12923;1;1
8922;12923;1;1
60797;12923;0;1
8924;12923;1;0
79804;12923;1;1
62161;12923;1;0
54384;12923;0;1
12935;12923;0;1
2703;12923;1;0
2705;12923;1;0
54389;12923;1;0
43126;12923;0;1
40062;12923;1;0
79664;12923;1;0
78976;12923;1;1
12931;12923;0;1
12930;12923;1;1
54390;12923;0;1
54365;12923;1;0
54364;12923;0;1
40068;12923;0;1
2698;12923;1;0
12948;12923;1;0
12943;12923;1;0
12932;12923;1;0
54393;12923;0;1
2684;12923;1;0
8917;12923;1;1
73991;12923;0;1
43123;12923;0;1
54364;12924;1;1
80349;12924;0;1
12926;12924;1;0
12932;12924;1;1
22693;12924;0;1
54393;12924;1;1
12948;12924;1;1
2698;12924;0;1
12929;12924;1;1
70492;12924;1;1
71126;12924;0;1
2705;12924;0;1
12925;12924;1;1
78976;12924;0;1
12934;12924;0;1
2682;12924;1;0
69531;12924;0;1
2686;12924;1;1
2695;12924;0;1
12937;12925;1;1
7431;12925;1;1
54364;12925;1;1
12932;12925;1;1
60719;12925;1;1
22693;12925;0;1
2698;12925;0;1
8295;12925;1;0
36854;12925;1;1
12929;12925;1;1
2686;12925;1;1
69531;12925;1;1
78976;12925;1;1
73834;12925;0;1
7444;12925;1;1
71126;12925;1;1
2695;12925;0;1
43126;12925;1;0
12924;12925;1;1
54376;12925;1;0
54393;12925;0;1
12948;12925;1;1
2682;12925;1;0
82797;12925;0;1
70492;12925;0;1
54370;12925;0;1
12939;12925;1;0
