id;coord;core;gender
43539;0;0;1
9952;0;0;1
9940;0;0;0
7460;0;0;0
115079;0;0;1
9923;0;0;0
77119;0;0;0
36907;0;0;1
10578;0;0;0
78762;0;0;0
71963;0;0;0
43552;0;0;0
9932;0;0;1
9951;0;0;0
91078;0;0;1
9956;0;0;0
9935;0;0;0
61372;0;0;0
43541;0;0;0
12944;0;1;0
70998;0;0;1
98177;0;0;0
12946;0;0;1
54386;0;0;0
54390;0;1;0
54364;0;0;1
12926;0;0;0
54378;0;0;0
12928;0;0;0
71024;0;0;0
54382;0;0;1
54380;0;0;1
54371;0;0;1
54385;0;0;0
12941;0;0;0
12940;0;0;1
94483;0;0;1
44851;0;0;0
36831;0;0;0
36870;0;0;0
7438;0;1;0
7470;0;0;1
43122;0;0;0
36921;0;0;1
76361;0;0;1
57256;0;0;0
72432;0;0;0
43120;0;0;0
36933;0;0;0
36920;0;0;0
9930;0;0;0
40081;0;0;0
81356;0;0;1
84786;0;0;1
55441;0;0;0
61131;0;0;1
40082;0;0;1
40067;0;0;1
40084;0;0;1
40060;0;0;0
78463;0;0;0
99989;0;0;1
99162;0;0;1
98336;0;0;0
110284;0;0;0
43540;0;0;0
110480;0;0;0
36832;0;0;0
54387;0;0;0
54367;0;0;1
78542;0;0;1
106593;0;0;0
110698;0;0;0
105410;0;0;0
7472;0;0;0
89485;0;0;0
9939;0;0;0
9936;0;0;0
67061;0;0;0
91669;0;0;1
90533;0;0;1
108182;0;0;1
101325;0;0;0
